PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#
VB-catch	3	3	b-verb.possession	1	b-verb.social	1	b-verb.cognition	1								
NN-road	2	2	b-noun.location	1	b-noun.artifact	1										
VBN-hurt	2	2	b-verb.change	1	b-verb.emotion	1										
NN-world	2	4	b-noun.object	3	b-noun.group	1										
VB-run	2	3	b-verb.motion	2	b-verb.change	1										
NNS-people	2	14	b-noun.group	13	b-noun.person	1										
VERB-hurt	2	3	b-verb.perception	2	b-verb.change	1										
VB-blame	2	3	b-verb.communication	2	b-verb.cognition	1										
VBP-put	2	3	b-verb.contact	2	b-verb.creation	1										
VBZ-works	2	2	b-verb.stative	1	b-verb.creation	1										
VBZ-shows	2	2	b-verb.change	1	b-verb.communication	1										
VBZ-ends	2	4	b-verb.stative	3	b-verb.change	1										
NN-city	2	2	b-noun.location	1	b-noun.group	1										
NN-bed	2	6	b-noun.location	3	b-noun.artifact	3										
VBD-missed	2	3	b-verb.stative	2	b-verb.emotion	1										
NOUN-researchers	2	3	b-noun.person	2	b-noun.group	1										
NN-heart	2	3	b-noun.cognition	2	b-noun.artifact	1										
VBG-taking	2	3	b-verb.social	2	b-verb.stative	1										
VBZ-happens	2	4	b-verb.change	3	b-verb.stative	1										
VB-cry	2	2	b-verb.communication	1	b-verb.emotion	1										
VB-come	4	14	b-verb.motion	10	b-verb.stative	2	b-verb.creation	1	b-verb.social	1						
VB-forget	2	4	b-verb.cognition	3	b-noun.event	1										
VBN-got	3	4	b-verb.possession	2	b-verb.cognition	1	b-verb.communication	1								
VB-have	5	23	b-verb.possession	16	b-verb.social	3	b-verb.stative	2	b-verb.creation	1	b-verb.cognition	1				
NNS-girls	2	4	b-noun.person	3	b-noun.group	1										
VBG-tryna	3	4	b-verb.stative	2	b-verb.change	1	b-verb.cognition	1								
VERB-save	2	2	b-verb.social	1	b-verb.change	1										
VBG-winning	2	3	b-verb.possession	2	b-verb.competition	1										
VBP-see	2	3	b-verb.perception	2	b-verb.social	1										
NN-love	2	4	b-noun.feeling	3	b-noun.relation	1										
NN-stuff	2	4	b-noun.substance	3	b-noun.act	1										
VB-shut	2	2	b-verb.social	1	b-verb.communication	1										
VB-find	2	4	b-verb.possession	3	b-verb.cognition	1										
NN-case	2	2	b-noun.state	1	b-noun.cognition	1										
NN-matter	2	2	b-noun.state	1	b-noun.cognition	1										
VBD-took	3	5	b-verb.social	3	b-verb.stative	1	b-verb.motion	1								
NOUN-megaupload Closure	2	3	b-noun.act	2	b-noun.event	1										
VBP-suppose	2	2	b-verb.communication	1	b-verb.cognition	1										
NN-car	2	2	b-noun.location	1	b-noun.artifact	1										
NNS-times	2	5	b-noun.event	3	b-noun.time	2										
NN-time	5	64	b-noun.time	31	b-noun.event	29	b-noun.tops	2	b-noun.attribute	1	b-noun.cognition	1				
VBP-want	2	16	b-verb.emotion	15	b-verb.cognition	1										
NOUN-challenge	2	2	b-noun.communication	1	b-noun.event	1										
NN-house	3	4	b-noun.location	2	b-noun.artifact	1	b-noun.person	1								
NN-party	2	5	b-verb.social	3	b-noun.event	2										
VB-kill	2	5	b-verb.contact	4	b-verb.motion	1										
VB-bring	2	3	b-verb.motion	2	b-verb.change	1										
NOUN-study	2	3	b-noun.communication	2	b-noun.act	1										
NOUN-followers	2	7	b-noun.person	6	b-noun.group	1										
VERB-offers	3	5	b-verb.social	3	b-verb.communication	1	b-verb.cognition	1								
VBD-made	4	7	b-verb.social	4	b-verb.motion	1	b-verb.change	1	b-verb.creation	1						
VBN-scheduled	2	2	b-verb.stative	1	b-verb.cognition	1										
VERB-follow	2	2	b-verb.social	1	b-verb.communication	1										
VBD-went	2	7	b-verb.motion	6	b-verb.change	1										
NOUN-blockbusters	2	3	b-noun.group	2	b-noun.communication	1										
VBP-miss	2	8	b-verb.emotion	7	b-verb.stative	1										
VB-see	2	18	b-verb.perception	12	b-verb.social	6										
NN-birthday	2	8	b-noun.time	7	b-noun.act	1										
VB-get	5	38	b-verb.possession	17	b-verb.change	8	b-verb.motion	8	b-verb.social	3	b-verb.cognition	2				
VBN-had	2	5	b-verb.possession	4	b-verb.consumption	1										
VBD-used	2	2	b-verb.stative	1	b-verb.social	1										
NN-half	2	2	b-noun.quantity	1	b-noun.time	1										
NN-tv	2	4	b-noun.communication	2	b-noun.artifact	2										
VBG-sharing	2	2	b-verb.possession	1	b-verb.communication	1										
NNS-fans	2	2	b-noun.person	1	b-noun.group	1										
NOUN-mix	2	4	b-noun.act	3	b-noun.event	1										
NN-thing	3	5	b-noun.state	2	b-noun.act	2	b-noun.communication	1								
VB-mean	2	3	b-verb.cognition	2	b-verb.stative	1										
VBD-meant	2	2	b-verb.communication	1	b-verb.cognition	1										
NN-meeting	2	2	b-noun.group	1	b-noun.act	1										
VERB-posted	2	9	b-verb.contact	5	b-verb.communication	4										
NNP-yom Kippur	2	2	b-noun.relation	1	b-noun.time	1										
VBG-reading	2	3	b-verb.cognition	2	b-verb.communication	1										
VB-sleep	2	5	b-verb.body	3	b-verb.stative	2										
NN-shit	7	9	b-noun.quantity	2	b-noun.communication	2	b-noun.substance	1	b-noun.attribute	1	b-noun.artifact	1	b-noun.act	1	b-noun.tops	1
NN-stage	2	3	b-noun.location	2	b-noun.state	1										
NN-end	2	4	b-noun.time	3	b-noun.state	1										
VB-work	2	3	b-verb.stative	2	b-verb.social	1										
VBN-taken	2	2	b-verb.possession	1	b-verb.social	1										
VBG-goin	3	5	b-verb.motion	3	b-verb.social	1	b-verb.change	1								
NN-head	2	2	b-noun.body	1	b-noun.shape	1										
VBP-stand	2	2	b-verb.stative	1	b-verb.cognition	1										
VBZ-gets	2	5	b-verb.motion	3	b-verb.possession	2										
VBP-feel	2	5	b-verb.emotion	4	b-verb.body	1										
NOUN-world	2	3	b-noun.object	2	b-noun.cognition	1										
VBP-hold	2	2	b-verb.stative	1	b-verb.social	1										
VBP-make	2	2	b-verb.social	1	b-verb.change	1										
VBG-having	4	7	b-verb.possession	3	b-verb.stative	2	b-verb.consumption	1	b-verb.cognition	1						
NOUN-stats	2	11	b-noun.cognition	6	b-noun.communication	5										
NN-post	2	2	b-noun.communication	1	b-verb.communication	1										
VBP-like	2	4	b-verb.cognition	2	b-verb.emotion	2										
NOUN-#soccer	3	4	b-noun.act	2	b-noun.communication	1	b-noun.group	1								
NN-show	3	11	b-noun.act	8	b-noun.communication	2	b-noun.event	1								
VB-stay	3	6	b-verb.change	3	b-verb.motion	2	b-verb.social	1								
NN-round	2	2	b-noun.time	1	b-noun.act	1										
NNS-stores	2	3	b-noun.artifact	2	b-noun.location	1										
VBD-lost	2	3	b-verb.possession	2	b-verb.competition	1										
NNS-guys	2	6	b-noun.person	4	b-noun.group	2										
VB-kick	2	2	b-verb.contact	1	b-noun.event	1										
NN-step	2	2	b-noun.quantity	1	b-noun.act	1										
VB-let	2	12	b-verb.social	9	b-verb.communication	3										
VBP-live	2	2	b-verb.stative	1	b-verb.social	1										
VERB-make	3	4	b-verb.creation	2	b-verb.social	1	b-verb.cognition	1								
VB-call	2	4	b-verb.communication	3	b-verb.social	1										
NUM-number	4	44	b-noun.quantity	27	b-noun.attribute	14	b-noun.person	2	b-noun.communication	1						
NNS-movies	2	2	b-noun.communication	1	b-noun.location	1										
NN-crush	2	2	b-noun.person	1	b-noun.communication	1										
VBD-got	6	24	b-verb.possession	14	b-verb.communication	3	b-verb.motion	3	b-verb.cognition	2	b-verb.competition	1	b-verb.change	1		
NN-one	2	7	b-noun.quantity	6	b-noun.animal	1										
VBG-coming	4	8	b-verb.motion	5	b-verb.stative	1	b-verb.social	1	b-verb.change	1						
VERB-get	3	4	b-verb.possession	2	b-verb.perception	1	b-verb.motion	1								
VBP-hope	2	15	b-verb.emotion	14	b-verb.cognition	1										
NOUN-analysis	2	2	b-noun.communication	1	b-noun.cognition	1										
VB-fuck	3	4	b-verb.contact	2	b-verb.motion	1	b-verb.social	1								
VB-like	2	3	b-verb.cognition	2	b-verb.emotion	1										
VBD-found	2	3	b-verb.possession	2	b-verb.cognition	1										
NOUN-liverpool	2	3	b-noun.location	2	b-noun.group	1										
NOUN-pics	2	3	b-noun.communication	2	b-noun.artifact	1										
VBZ-feels	2	3	b-verb.cognition	2	b-verb.emotion	1										
NNS-problems	2	2	b-noun.relation	1	b-noun.state	1										
VBP-go	2	6	b-verb.motion	3	b-verb.change	3										
VB-wait	2	6	b-verb.stative	5	b-verb.cognition	1										
NNP-april	3	3	b-noun.person	1	b-noun.state	1	b-noun.time	1								
VBP-need	6	15	b-verb.stative	9	b-verb.emotion	2	b-verb.social	1	b-verb.cognition	1	b-verb.consumption	1	b-verb.possession	1		
VBP-beat	2	2	b-verb.competition	1	b-verb.contact	1										
VB-deal	3	3	b-verb.social	1	b-verb.communication	1	b-verb.cognition	1								
NNP-kings	2	2	b-noun.communication	1	b-noun.group	1										
NN-look	2	2	b-noun.attribute	1	b-noun.act	1										
VB-do	4	18	b-verb.social	14	b-verb.creation	2	b-verb.motion	1	b-verb.cognition	1						
VBN-gone	2	2	b-verb.stative	1	b-verb.motion	1										
VBZ-has	2	9	b-verb.possession	8	b-verb.emotion	1										
VERB-live	2	2	b-verb.stative	1	b-verb.communication	1										
VBP-turn	2	2	b-verb.motion	1	b-verb.change	1										
VERB-finds	2	4	b-verb.perception	2	b-verb.cognition	2										
VBZ-turns	2	3	b-verb.motion	2	b-verb.change	1										
VB-ring	2	2	b-verb.contact	1	b-verb.communication	1										
VB-give	2	7	b-verb.possession	5	b-verb.cognition	2										
VBZ-means	2	3	b-verb.stative	2	b-verb.cognition	1										
NN-computer	2	2	b-noun.communication	1	b-noun.artifact	1										
NN-room	2	4	b-noun.artifact	3	b-noun.location	1										
VB-write	2	4	b-verb.creation	2	b-verb.communication	2										
VBD-left	2	2	b-verb.motion	1	b-verb.cognition	1										
VERB-stay	2	2	b-verb.stative	1	b-verb.social	1										
VBP-have	5	28	b-verb.possession	17	b-verb.stative	5	b-verb.social	3	b-verb.cognition	2	b-verb.communication	1				
NN-something	5	7	b-noun.tops	2	b-noun.act	2	b-noun.communication	1	b-noun.artifact	1	b-noun.food	1				
VBP-give	2	2	b-verb.possession	1	b-verb.cognition	1										
NN-place	2	7	b-noun.location	6	b-noun.relation	1										
NN-point	2	4	b-noun.cognition	3	b-noun.motive	1										
VB-stop	4	5	b-verb.motion	2	b-verb.stative	1	b-verb.social	1	b-verb.change	1						
VERB-go	3	4	b-verb.change	2	b-verb.motion	1	b-verb.social	1								
VB-show	2	2	b-verb.perception	1	b-verb.communication	1										
NUM-2	2	7	b-noun.quantity	6	b-noun.attribute	1										
VBG-doing	4	8	b-verb.social	5	b-verb.motion	1	b-verb.creation	1	b-verb.communication	1						
NN-game	2	5	b-noun.act	4	b-noun.artifact	1										
VB-check	2	9	b-verb.cognition	6	b-verb.perception	3										
VBD-tried	2	2	b-verb.motion	1	b-verb.social	1										
VB-pull	2	2	b-verb.motion	1	b-verb.contact	1										
VB-take	4	5	b-verb.social	2	b-verb.possession	1	b-verb.contact	1	b-verb.consumption	1						
NOUN-today	2	10	b-noun.time	9	b-noun.person	1										
NN-gym	2	4	b-noun.artifact	3	b-noun.location	1										
NN-side	2	2	b-noun.body	1	b-noun.location	1										
VBG-gettin	2	2	b-verb.possession	1	b-verb.change	1										
NN-class	3	3	b-noun.attribute	1	b-noun.time	1	b-noun.act	1								
VBD-trampled	2	2	b-verb.motion	1	b-verb.body	1										
VBP-follow	2	2	b-verb.motion	1	b-verb.communication	1										
VBG-doin	2	2	b-verb.stative	1	b-verb.emotion	1										
NN-night	3	19	b-noun.time	17	b-noun.quantity	1	b-noun.state	1								
NNS-things	4	7	b-noun.tops	3	b-noun.group	2	b-noun.communication	1	b-noun.state	1						
VBP-do	2	18	b-verb.social	17	b-verb.stative	1										
VBG-stayin	2	2	b-verb.stative	1	b-verb.social	1										
NN-anything	3	4	b-noun.tops	2	b-noun.communication	1	b-noun.substance	1								
NOUN-business	2	2	b-noun.cognition	1	b-noun.act	1										
VERB-stop	2	2	b-verb.stative	1	b-verb.change	1										
NOUN-bids	2	2	b-noun.communication	1	b-noun.attribute	1										
VB-follow	4	7	b-verb.motion	2	b-verb.social	2	b-verb.communication	2	b-verb.cognition	1						
NN-life	2	13	b-noun.state	12	b-noun.cognition	1										
NNP-sharks	2	2	b-noun.group	1	b-noun.animal	1										
VB-clean	2	2	b-verb.change	1	b-verb.contact	1										
VBG-going	4	20	b-verb.motion	14	b-verb.stative	2	b-verb.social	2	b-verb.change	2						
VBN-born	2	2	b-verb.stative	1	b-verb.body	1										
VB-start	2	6	b-verb.change	5	b-verb.social	1										
NN-everything	3	7	b-noun.tops	4	b-noun.group	2	b-noun.cognition	1								
VBZ-is	1	115	b-verb.stative	115												
NN-today	1	80	b-noun.time	80												
VBZ-'s	1	68	b-verb.stative	68												
NN-tonight	1	61	b-noun.time	61												
VB-be	1	53	b-verb.stative	53												
VBD-was	1	50	b-verb.stative	50												
NN-week	1	49	b-noun.time	49												
VBP-'m	1	42	b-verb.stative	42												
NN-tomorrow	1	37	b-noun.time	37												
VBP-are	1	36	b-verb.stative	36												
MD-will	1	24	b-verb.communication	24												
MD-can	1	23	b-verb.change	23												
VBP-know	1	18	b-verb.cognition	18												
NNS-days	1	17	b-noun.time	17												
NNP-friday	1	17	b-noun.time	17												
VERB-is	1	16	b-verb.stative	16												
NNP-monday	1	16	b-noun.time	16												
VBP-'re	1	14	b-verb.stative	14												
VBP-love	1	14	b-verb.emotion	14												
VBP-think	1	14	b-verb.cognition	14												
NNP-saturday	1	12	b-noun.time	12												
NOUN-photo	1	12	b-noun.artifact	12												
VERB-are	1	11	b-verb.stative	11												
VBD-said	1	11	b-verb.communication	11												
NNP-sunday	1	11	b-noun.time	11												
VBD-were	1	10	b-verb.stative	10												
NN-someone	1	10	b-noun.person	10												
NOUN-facebook	1	10	b-noun.communication	10												
VBP-hate	1	9	b-verb.emotion	9												
NN-month	1	9	b-noun.time	9												
NN-yesterday	1	9	b-noun.time	9												
NOUN-unfollowers	1	9	b-noun.person	9												
VB-help	1	8	b-verb.social	8												
VBD-did	1	8	b-verb.social	8												
NNP-feb	1	8	b-noun.time	8												
HT-#houseofmirrors	1	8	b-noun.communication	8												
VBG-being	1	7	b-verb.stative	7												
VBP-am	1	7	b-verb.stative	7												
VB-say	1	7	b-verb.communication	7												
VERB-followed	1	7	b-verb.communication	7												
NN-money	1	7	b-noun.possession	7												
NN-home	1	7	b-noun.location	7												
VBD-saw	1	6	b-verb.perception	6												
VB-know	1	6	b-verb.cognition	6												
NNP-november	1	6	b-noun.time	6												
NNS-weeks	1	6	b-noun.time	6												
NOUN-year	1	6	b-noun.time	6												
NN-chance	1	6	b-noun.state	6												
NN-everyone	1	6	b-noun.person	6												
NN-mom	1	6	b-noun.person	6												
NN-way	1	6	b-noun.attribute	6												
VB-try	1	5	b-verb.social	5												
VBP-'ve	1	5	b-verb.possession	5												
VBZ-seems	1	5	b-verb.perception	5												
VBG-driving	1	5	b-verb.motion	5												
MD-cant	1	5	b-verb.motion	5												
VBP-wish	1	5	b-verb.emotion	5												
VB-love	1	5	b-verb.emotion	5												
VERB-win	1	5	b-verb.competition	5												
VBP-call	1	5	b-verb.communication	5												
VB-tell	1	5	b-verb.communication	5												
VBD-asked	1	5	b-verb.communication	5												
NN-weekend	1	5	b-noun.time	5												
NNP-nov	1	5	b-noun.time	5												
NNP-oct	1	5	b-noun.time	5												
NNP-god	1	5	b-noun.person	5												
WP-who	1	5	b-noun.group	5												
NOUN-news	1	5	b-noun.communication	5												
NN-video	1	5	b-noun.communication	5												
NN-info	1	5	b-noun.communication	5												
VERB-celebrates	1	4	b-verb.social	4												
VB-meet	1	4	b-verb.social	4												
VBG-trying	1	4	b-verb.social	4												
VERB-have	1	4	b-verb.possession	4												
VBG-watching	1	4	b-verb.perception	4												
VB-look	1	4	b-verb.perception	4												
VERB-looks	1	4	b-verb.perception	4												
VBN-seen	1	4	b-verb.perception	4												
VBP-come	1	4	b-verb.motion	4												
VB-win	1	4	b-verb.competition	4												
VBD-called	1	4	b-verb.communication	4												
VBG-talking	1	4	b-verb.communication	4												
VB-tweet	1	4	b-verb.communication	4												
VBD-told	1	4	b-verb.communication	4												
VB-thank	1	4	b-verb.communication	4												
VBG-thinking	1	4	b-verb.cognition	4												
VB-remember	1	4	b-verb.cognition	4												
VB-think	1	4	b-verb.cognition	4												
VBP-start	1	4	b-verb.change	4												
VBD-started	1	4	b-verb.change	4												
VB-wear	1	4	b-verb.body	4												
NNS-hours	1	4	b-noun.time	4												
NNP-december	1	4	b-noun.time	4												
NNS-months	1	4	b-noun.time	4												
NNP-tuesday	1	4	b-noun.time	4												
NN-tonite	1	4	b-noun.time	4												
NNS-minutes	1	4	b-noun.time	4												
NNP-jan	1	4	b-noun.time	4												
NN-mood	1	4	b-noun.state	4												
NN-part	1	4	b-noun.relation	4												
NN-lot	1	4	b-noun.quantity	4												
NN-sister	1	4	b-noun.person	4												
NOUN-follower	1	4	b-noun.person	4												
NNS-ppl	1	4	b-noun.group	4												
NOUN-venice Film Festival	1	4	b-noun.event	4												
NOUN-venice Festival	1	4	b-noun.event	4												
NOUN-lineup	1	4	b-noun.communication	4												
NOUN-stories	1	4	b-noun.communication	4												
NN-news	1	4	b-noun.communication	4												
NN-story	1	4	b-noun.communication	4												
NN-hair	1	4	b-noun.body	4												
NN-hand	1	4	b-noun.body	4												
NN-age	1	4	b-noun.attribute	4												
NN-job	1	4	b-noun.act	4												
VB-keep	1	3	b-verb.stative	3												
VBG-waiting	1	3	b-verb.stative	3												
VB-miss	1	3	b-verb.stative	3												
VBG-sitting	1	3	b-verb.stative	3												
VB-need	1	3	b-verb.stative	3												
VERB-helped	1	3	b-verb.social	3												
VB-join	1	3	b-verb.social	3												
VB-buy	1	3	b-verb.possession	3												
VB-lose	1	3	b-verb.possession	3												
VB-watch	1	3	b-verb.perception	3												
VB-move	1	3	b-verb.motion	3												
VBG-feeling	1	3	b-verb.emotion	3												
VBZ-wants	1	3	b-verb.emotion	3												
VBG-saying	1	3	b-verb.communication	3												
VB-talk	1	3	b-verb.communication	3												
VBG-tweeting	1	3	b-verb.communication	3												
VBD-wrote	1	3	b-verb.communication	3												
VBP-say	1	3	b-verb.communication	3												
VB-retweet	1	3	b-verb.communication	3												
VERB-think	1	3	b-verb.cognition	3												
VBP-remember	1	3	b-verb.cognition	3												
VBP-guess	1	3	b-verb.cognition	3												
VBD-thought	1	3	b-verb.cognition	3												
VB-believe	1	3	b-verb.cognition	3												
VBG-wearing	1	3	b-verb.body	3												
NNP-dec	1	3	b-noun.time	3												
NNP-september	1	3	b-noun.time	3												
NOUN-day	1	3	b-noun.time	3												
NN-moment	1	3	b-noun.time	3												
NNP-october	1	3	b-noun.time	3												
NOUN-week	1	3	b-noun.time	3												
NOUN-end Date	1	3	b-noun.time	3												
NN-sodium	1	3	b-noun.substance	3												
NN-sleep	1	3	b-noun.state	3												
NNS-lots	1	3	b-noun.quantity	3												
NN-nothing	1	3	b-noun.quantity	3												
NN-baby	1	3	b-noun.person	3												
NNP-pope	1	3	b-noun.person	3												
NN-guy	1	3	b-noun.person	3												
NN-nobody	1	3	b-noun.person	3												
NN-anyone	1	3	b-noun.person	3												
NOUN-#assad	1	3	b-noun.person	3												
NN-mum	1	3	b-noun.person	3												
NN-bestfriend	1	3	b-noun.person	3												
NNP-lord	1	3	b-noun.person	3												
NN-friend	1	3	b-noun.person	3												
NN-dad	1	3	b-noun.person	3												
NOUN-syria	1	3	b-noun.location	3												
NNP-miami	1	3	b-noun.location	3												
NNP-hawaii	1	3	b-noun.location	3												
NOUN-munich	1	3	b-noun.location	3												
NN-area	1	3	b-noun.location	3												
NNS-people who	1	3	b-noun.group	3												
NN-group	1	3	b-noun.group	3												
NN-dinner	1	3	b-noun.food	3												
NN-start	1	3	b-noun.event	3												
NN-question	1	3	b-noun.communication	3												
NN-movie	1	3	b-noun.communication	3												
NNS-excuses	1	3	b-noun.communication	3												
NNS-messages	1	3	b-noun.communication	3												
NN-blog	1	3	b-noun.communication	3												
NNP-justin Bieber concert	1	3	b-noun.communication	3												
NNS-eyes	1	3	b-noun.body	3												
NN-photo	1	3	b-noun.artifact	3												
NN-bell	1	3	b-noun.artifact	3												
NOUN-deer	1	3	b-noun.animal	3												
NN-homework	1	3	b-noun.act	3												
VB-live	1	2	b-verb.stative	2												
VERB-be	1	2	b-verb.stative	2												
VERB-were	1	2	b-verb.stative	2												
VBG-living	1	2	b-verb.stative	2												
VERB-was	1	2	b-verb.stative	2												
VBP-be	1	2	b-verb.stative	2												
NN-cont	1	2	b-verb.stative	2												
VBG-chilling	1	2	b-verb.stative	2												
VBD-held	1	2	b-verb.stative	2												
VERB-according	1	2	b-verb.stative	2												
VBG-staying	1	2	b-verb.stative	2												
VBZ-sucks	1	2	b-verb.stative	2												
VBP-meet	1	2	b-verb.social	2												
VBP-lets	1	2	b-verb.social	2												
VBZ-launches	1	2	b-verb.social	2												
VBZ-does	1	2	b-verb.social	2												
VB-got	1	2	b-verb.possession	2												
VBG-offering	1	2	b-verb.possession	2												
VERB-has	1	2	b-verb.possession	2												
VBD-gave	1	2	b-verb.possession	2												
VBZ-got	1	2	b-verb.possession	2												
VB-pick	1	2	b-verb.possession	2												
VERB-got	1	2	b-verb.possession	2												
VBD-watched	1	2	b-verb.perception	2												
VB-listen	1	2	b-verb.perception	2												
VBG-listening	1	2	b-verb.perception	2												
VBZ-walks	1	2	b-verb.motion	2												
VBZ-brings	1	2	b-verb.motion	2												
VBG-droppin	1	2	b-verb.motion	2												
VBG-fallin	1	2	b-verb.motion	2												
VBG-moving	1	2	b-verb.motion	2												
VBD-came	1	2	b-verb.motion	2												
VBN-headed	1	2	b-verb.motion	2												
VBP-luv	1	2	b-verb.emotion	2												
VBD-obsessed	1	2	b-verb.emotion	2												
VB-enjoy	1	2	b-verb.emotion	2												
VERB-love	1	2	b-verb.emotion	2												
VBZ-hates	1	2	b-verb.emotion	2												
VBD-scared	1	2	b-verb.emotion	2												
VBD-loved	1	2	b-verb.emotion	2												
VBZ-loves	1	2	b-verb.emotion	2												
VERB-want	1	2	b-verb.emotion	2												
VERB-liked	1	2	b-verb.emotion	2												
VBG-writing	1	2	b-verb.creation	2												
VBG-making	1	2	b-verb.creation	2												
VERB-build	1	2	b-verb.creation	2												
VBD-put	1	2	b-verb.contact	2												
VB-lick	1	2	b-verb.contact	2												
VERB-riddle	1	2	b-verb.contact	2												
VBD-slapped	1	2	b-verb.contact	2												
VERB-arrested	1	2	b-verb.contact	2												
VBG-drinking	1	2	b-verb.consumption	2												
VBN-eaten	1	2	b-verb.consumption	2												
VBG-eating	1	2	b-verb.consumption	2												
VB-eat	1	2	b-verb.consumption	2												
VBD-won	1	2	b-verb.competition	2												
VBD-beat	1	2	b-verb.competition	2												
VBP-bet	1	2	b-verb.competition	2												
VERB-presents	1	2	b-verb.communication	2												
VERB-share	1	2	b-verb.communication	2												
VBP-ask	1	2	b-verb.communication	2												
VBG-following	1	2	b-verb.communication	2												
VERB-say	1	2	b-verb.communication	2												
VB-shout	1	2	b-verb.communication	2												
VBD-tweeted	1	2	b-verb.communication	2												
VB-sing	1	2	b-verb.communication	2												
VERB-announced	1	2	b-verb.communication	2												
VERB-bows	1	2	b-verb.communication	2												
VERB-find	1	2	b-verb.cognition	2												
VBG-awaiting	1	2	b-verb.cognition	2												
VBZ-knows	1	2	b-verb.cognition	2												
VERB-guess	1	2	b-verb.cognition	2												
VERB-learn	1	2	b-verb.cognition	2												
VBZ-thinks	1	2	b-verb.cognition	2												
VERB-check	1	2	b-verb.cognition	2												
VBG-beginning	1	2	b-verb.change	2												
VB-die	1	2	b-verb.change	2												
VB-finish	1	2	b-verb.change	2												
VB-switch	1	2	b-verb.change	2												
VBG-starting	1	2	b-verb.change	2												
VERB-start	1	2	b-verb.change	2												
VBD-died	1	2	b-verb.change	2												
VBP-become	1	2	b-verb.change	2												
VBP-wake	1	2	b-verb.body	2												
NNP-sept	1	2	b-noun.time	2												
NNS-mins	1	2	b-noun.time	2												
NNP-february	1	2	b-noun.time	2												
NNP-sat	1	2	b-noun.time	2												
NNP-thursday	1	2	b-noun.time	2												
NNP-fri	1	2	b-noun.time	2												
NN-everyday	1	2	b-noun.time	2												
NN-min	1	2	b-noun.time	2												
NOUN-date	1	2	b-noun.time	2												
NN-anniversary	1	2	b-noun.time	2												
NNS-seconds	1	2	b-noun.time	2												
NNP-thursday night	1	2	b-noun.time	2												
NOUN-night	1	2	b-noun.time	2												
NNP-jason Garrett era	1	2	b-noun.time	2												
NNP-thanksgiving	1	2	b-noun.time	2												
NN-while	1	2	b-noun.time	2												
NN-2day	1	2	b-noun.time	2												
NN-evening	1	2	b-noun.time	2												
NN-water	1	2	b-noun.substance	2												
NN-mess	1	2	b-noun.state	2												
NN-dollar	1	2	b-noun.quantity	2												
NUM-one	1	2	b-noun.quantity	2												
NN-loss	1	2	b-noun.possession	2												
NN-bonus	1	2	b-noun.possession	2												
NN-wind	1	2	b-noun.phenomenon	2												
NN-rain	1	2	b-noun.phenomenon	2												
NOUN-sturridge	1	2	b-noun.person	2												
NN-momma	1	2	b-noun.person	2												
